ip;port;czas
212.14.30.3;32004;3 
212.14.30.3;32004;4,8
212.14.30.3;32010;6,1
200.0.1.34;32008;3
200.0.1.34;32007;9,1
200.0.1.34;32004;9,6
172.15.0.34;32009;8,9
212.14.30.3;32003;6,6
212.14.30.3;32000;3,8
200.0.1.34;32001;6,6
200.0.1.34;32000;9
192.168.0.7;32000;6,2
212.14.30.3;32010;5,1
212.14.30.3;32000;7,1
172.15.0.34;32005;6,4
200.0.1.34;32001;6,2
212.14.30.3;32001;4,1
200.0.1.34;32007;4,3
200.0.1.34;32009;6,3
200.0.1.34;32002;1
212.14.30.3;32000;7,6
192.168.0.7;32000;9,6
192.168.0.7;32004;1,5
172.15.0.34;32000;6,7
200.0.1.34;32009;4,2
172.15.0.34;32007;3,2
212.14.30.3;32000;3
212.14.30.3;32010;2,1
192.168.0.7;32000;6,9
212.14.30.3;32010;9
200.0.1.34;32008;6,2
212.14.30.3;32008;4,1
172.15.0.34;32004;8,6
212.14.30.3;32000;1
212.14.30.3;32010;4
192.168.0.7;32007;3,1
200.0.1.34;32002;5,1
172.15.0.34;32008;4
192.168.0.7;32008;2,5
200.0.1.34;32009;9
172.15.0.34;32010;5,5
200.0.1.34;32010;9,5
172.15.0.34;32004;5,4
200.0.1.34;32000;4,5
212.14.30.3;32008;4,5
200.0.1.34;32002;0,3
192.168.0.7;32003;3,3
200.0.1.34;32002;2,8
200.0.1.34;32007;6,2
212.14.30.3;32008;0,2
200.0.1.34;32001;6,5
212.14.30.3;32004;4,8
192.168.0.7;32005;8,3
212.14.30.3;32004;0,3
200.0.1.34;32004;7,9
172.15.0.34;32007;8
192.168.0.7;32003;6,5
192.168.0.7;32003;0,3
200.0.1.34;32006;1
200.0.1.34;32009;3,7
212.14.30.3;32005;6,9
200.0.1.34;32008;1,3
200.0.1.34;32010;8,8
172.15.0.34;32005;2,8
212.14.30.3;32006;2,5
200.0.1.34;32000;1,4
212.14.30.3;32010;1,6
172.15.0.34;32008;1,8
172.15.0.34;32003;1,9
212.14.30.3;32008;3,8
200.0.1.34;32005;7,8
172.15.0.34;32009;6,5
200.0.1.34;32003;8,4
192.168.0.7;32007;5,5
172.15.0.34;32001;9,9
200.0.1.34;32000;0,7
172.15.0.34;32002;9,2
212.14.30.3;32002;7
192.168.0.7;32003;9,8
200.0.1.34;32006;5
212.14.30.3;32001;2,1
212.14.30.3;32003;5,2
200.0.1.34;32005;7,2
172.15.0.34;32006;5,5
192.168.0.7;32008;6,9
200.0.1.34;32002;1,4
212.14.30.3;32005;7,3
200.0.1.34;32009;2,1
192.168.0.7;32000;3,5
192.168.0.7;32010;0,4
212.14.30.3;32010;6
192.168.0.7;32005;5,6
192.168.0.7;32002;9,2
172.15.0.34;32003;4,1
172.15.0.34;32008;5
212.14.30.3;32007;7,7
192.168.0.7;32007;6,9
212.14.30.3;32001;7,3
192.168.0.7;32000;9,2
192.168.0.7;32002;7,7
212.14.30.3;32007;5,7
192.168.0.7;32005;2,7
192.168.0.7;32004;8,7
192.168.0.7;32008;7
212.14.30.3;32010;3,2
212.14.30.3;32006;3,6
192.168.0.7;32005;5,4
192.168.0.7;32006;6,2
172.15.0.34;32000;9,6
212.14.30.3;32005;7,4
172.15.0.34;32009;6,1
212.14.30.3;32003;0,3
212.14.30.3;32010;4,1
200.0.1.34;32004;6,3
192.168.0.7;32008;2,2
172.15.0.34;32003;1,4
212.14.30.3;32009;1,8
200.0.1.34;32004;9
212.14.30.3;32004;6
200.0.1.34;32003;2,6
212.14.30.3;32006;3,4
212.14.30.3;32002;5,2
172.15.0.34;32006;2,4
172.15.0.34;32000;6,2
212.14.30.3;32009;4,6
200.0.1.34;32006;1,3
200.0.1.34;32004;5,9
192.168.0.7;32001;3,8
172.15.0.34;32006;5,4
192.168.0.7;32002;8,2
172.15.0.34;32004;6,3
192.168.0.7;32004;10
172.15.0.34;32002;4,1
192.168.0.7;32009;5,2
172.15.0.34;32004;4,6
212.14.30.3;32003;9,8
212.14.30.3;32002;3,3
200.0.1.34;32002;0,2
200.0.1.34;32001;8,2
172.15.0.34;32000;1
212.14.30.3;32000;8,1
200.0.1.34;32006;2,1
200.0.1.34;32007;0,9
192.168.0.7;32003;9,5
192.168.0.7;32005;5
212.14.30.3;32007;7,5
212.14.30.3;32007;9,2
200.0.1.34;32001;7,2
172.15.0.34;32006;6,7
200.0.1.34;32001;4,7
192.168.0.7;32004;8,3
212.14.30.3;32003;2,5
212.14.30.3;32004;9,6
212.14.30.3;32008;7,1
212.14.30.3;32006;5
212.14.30.3;32006;6,8
192.168.0.7;32004;4,5
212.14.30.3;32000;6,6
192.168.0.7;32008;6,1
212.14.30.3;32003;8,8
172.15.0.34;32008;1
212.14.30.3;32010;6,5
192.168.0.7;32001;3,1
212.14.30.3;32000;8,5
200.0.1.34;32001;2,7
212.14.30.3;32004;2,5
192.168.0.7;32005;10
200.0.1.34;32005;5,1
212.14.30.3;32002;7,2
200.0.1.34;32003;2,8
212.14.30.3;32006;8,2
200.0.1.34;32006;8,2
172.15.0.34;32008;6,5
200.0.1.34;32000;9,6
192.168.0.7;32004;8,2
172.15.0.34;32001;6,9
212.14.30.3;32002;3,4
192.168.0.7;32001;4,8
172.15.0.34;32004;1,3
192.168.0.7;32010;5,5
212.14.30.3;32003;9,1
192.168.0.7;32005;2,4
200.0.1.34;32007;2,6
200.0.1.34;32000;0,6
172.15.0.34;32002;7,7
172.15.0.34;32007;6,6
212.14.30.3;32005;9,3
172.15.0.34;32007;5,3
212.14.30.3;32000;7,7
200.0.1.34;32008;0,9
172.15.0.34;32003;1,7
172.15.0.34;32001;4
172.15.0.34;32008;0,3
212.14.30.3;32002;0,9
172.15.0.34;32002;5,3
200.0.1.34;32001;9,8
172.15.0.34;32002;8,8
212.14.30.3;32002;8,9
212.14.30.3;32000;1,4
212.14.30.3;32008;6,5
172.15.0.34;32006;5,4
200.0.1.34;32008;9,4
192.168.0.7;32002;4,5
172.15.0.34;32008;9
200.0.1.34;32006;4
212.14.30.3;32003;1,8
192.168.0.7;32007;5,6
192.168.0.7;32010;5
200.0.1.34;32009;6,2
200.0.1.34;32008;5,7
200.0.1.34;32004;7,5
172.15.0.34;32000;8,5
200.0.1.34;32002;6,8
172.15.0.34;32003;8,7
200.0.1.34;32000;9
200.0.1.34;32007;2,7
200.0.1.34;32005;5
200.0.1.34;32006;3,6
212.14.30.3;32001;1,3
200.0.1.34;32010;3,2
212.14.30.3;32001;5,4
212.14.30.3;32002;2,4
200.0.1.34;32001;0,5
192.168.0.7;32009;3,8
200.0.1.34;32009;9,8
212.14.30.3;32005;10
172.15.0.34;32007;7
200.0.1.34;32009;5,4
192.168.0.7;32008;7,5
192.168.0.7;32010;1,3
200.0.1.34;32008;5,2
172.15.0.34;32008;4,3
200.0.1.34;32002;9
200.0.1.34;32010;6,2
200.0.1.34;32001;3,1
200.0.1.34;32004;6,6
212.14.30.3;32000;9,8
200.0.1.34;32003;1,1
172.15.0.34;32003;4,6
200.0.1.34;32005;7,6
200.0.1.34;32009;1,4
172.15.0.34;32010;5,1
200.0.1.34;32000;7,9
200.0.1.34;32009;5,6
172.15.0.34;32005;5,5
172.15.0.34;32009;7,3
200.0.1.34;32002;5,6
200.0.1.34;32008;9,3
200.0.1.34;32003;6
192.168.0.7;32003;0,2
192.168.0.7;32007;0,4
192.168.0.7;32000;6,3
200.0.1.34;32001;6,2
192.168.0.7;32007;3,7
192.168.0.7;32000;0,3
172.15.0.34;32003;1,3
172.15.0.34;32002;4
172.15.0.34;32002;7,4
172.15.0.34;32008;0,9
200.0.1.34;32009;5,2
192.168.0.7;32006;5,8
192.168.0.7;32005;5,7
200.0.1.34;32008;7,2
192.168.0.7;32006;1,4
200.0.1.34;32007;5,2
192.168.0.7;32002;3,6
200.0.1.34;32007;8,3
172.15.0.34;32004;0,7
200.0.1.34;32008;3,1
192.168.0.7;32001;6,3
192.168.0.7;32010;3
212.14.30.3;32003;2,1
200.0.1.34;32008;7,5
172.15.0.34;32002;9,8
172.15.0.34;32006;1
172.15.0.34;32006;0,9
172.15.0.34;32000;3,5
192.168.0.7;32000;2,8
212.14.30.3;32010;4
172.15.0.34;32001;2
172.15.0.34;32007;4,7
200.0.1.34;32010;0,1
192.168.0.7;32008;9,7
172.15.0.34;32002;9,1
172.15.0.34;32008;3
172.15.0.34;32003;7,7
192.168.0.7;32000;4
212.14.30.3;32004;8,6
212.14.30.3;32004;4,5
200.0.1.34;32002;3,3
200.0.1.34;32004;3,8
172.15.0.34;32006;4
192.168.0.7;32002;3,9
212.14.30.3;32004;8,2
200.0.1.34;32010;8,7
172.15.0.34;32005;6,4
212.14.30.3;32003;6,3
212.14.30.3;32001;3,3
192.168.0.7;32010;6,2
172.15.0.34;32003;5,4
200.0.1.34;32005;8,8
212.14.30.3;32009;6,5
192.168.0.7;32004;9,8
192.168.0.7;32001;5,7
192.168.0.7;32002;3,7
200.0.1.34;32007;3,8
200.0.1.34;32006;7,5
192.168.0.7;32005;7,2
192.168.0.7;32010;9,1
172.15.0.34;32006;3,3
200.0.1.34;32003;0,9
172.15.0.34;32000;1
200.0.1.34;32006;0,3
172.15.0.34;32004;3,1
200.0.1.34;32003;8,7
192.168.0.7;32008;6,1
212.14.30.3;32005;7,2
192.168.0.7;32009;3,7
192.168.0.7;32002;6,6
172.15.0.34;32004;5,8
172.15.0.34;32004;7,4
192.168.0.7;32007;6,2
212.14.30.3;32000;2,4
200.0.1.34;32009;2,7
212.14.30.3;32005;6,8
172.15.0.34;32005;4,7
192.168.0.7;32001;2,2
172.15.0.34;32007;0,5
192.168.0.7;32009;2,4
200.0.1.34;32001;2,7
192.168.0.7;32009;3,5
200.0.1.34;32009;2,5
172.15.0.34;32002;9,7
200.0.1.34;32002;1,6
212.14.30.3;32009;1,7
172.15.0.34;32006;2,6
172.15.0.34;32009;5,9
172.15.0.34;32003;2,2
212.14.30.3;32008;4,3
192.168.0.7;32001;2,8
200.0.1.34;32001;5,5
172.15.0.34;32002;2,8
192.168.0.7;32004;9
192.168.0.7;32007;4,9
212.14.30.3;32010;2,3
192.168.0.7;32009;6,1
172.15.0.34;32004;8,7
212.14.30.3;32001;6,6
200.0.1.34;32000;9,4
200.0.1.34;32005;7,2
212.14.30.3;32003;8
212.14.30.3;32006;4
192.168.0.7;32010;8,8
200.0.1.34;32006;7,1
172.15.0.34;32010;3,4
212.14.30.3;32002;7,1
200.0.1.34;32005;6,5
200.0.1.34;32002;5,1
172.15.0.34;32006;7,5
192.168.0.7;32003;6,5
212.14.30.3;32009;6,6
212.14.30.3;32003;5,4
192.168.0.7;32001;7,1
192.168.0.7;32008;1,4
200.0.1.34;32001;4,7
